epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.14439,2.67683,9.29314,2.58,0.01955,0.14815,0.00866,0.00356,1.71939,5.47045,1.81047,8.335e-05,8.335e-05,8.335e-05
2,9.82448,2.32016,7.96375,2.24772,0.07164,0.07407,0.02261,0.01492,1.72689,9.24026,1.94268,0.00018216,0.00018216,0.00018216
3,12.4518,1.96618,3.94302,2.08449,0.00768,0.07407,0.00252,0.00073,2.09202,7.61324,2.53043,0.000279649,0.000279649,0.000279649
4,14.8278,1.80717,2.93334,1.92768,0.38224,0.25241,0.13201,0.0414,2.14344,5.02708,2.53747,0.000375818,0.000375818,0.000375818
5,17.2565,1.73409,2.62657,1.79286,0.48203,0.18519,0.18824,0.03928,2.50026,4.28132,2.9054,0.000470667,0.000470667,0.000470667
6,19.6646,1.45629,2.0835,1.57572,0.45455,0.18519,0.16748,0.04585,2.2062,11.0014,2.41246,0.000564196,0.000564196,0.000564196
7,22.1307,1.48906,2.23879,1.60967,0.151,0.40741,0.13065,0.05,2.44143,8.37621,2.40513,0.000656405,0.000656405,0.000656405
8,24.6224,1.75926,2.25682,1.79098,0.09395,0.33333,0.15202,0.05647,2.40258,24.4072,2.3346,0.000747293,0.000747293,0.000747293
9,27.7209,1.65313,2.35975,1.67596,0.05504,0.18519,0.0209,0.00433,2.99292,6.32369,3.04251,0.000836861,0.000836861,0.000836861
10,30.6966,1.7274,2.21221,1.81582,0.05,0.03704,0.0197,0.00435,2.5703,97.0818,3.09166,0.000925108,0.000925108,0.000925108
11,33.6055,1.51472,1.90589,1.60648,0.01859,0.11111,0.00947,0.00201,2.72495,41.5161,4.80318,0.00101204,0.00101204,0.00101204
12,36.5302,1.64928,1.80819,1.61914,0.01105,0.07407,0.00725,0.00201,2.6679,141.544,5.15364,0.00109764,0.00109764,0.00109764
13,39.452,1.46499,1.67467,1.67238,0.03448,0.07407,0.04597,0.01388,2.44364,72.2601,3.38806,0.00118193,0.00118193,0.00118193
14,42.524,1.54562,1.66025,1.63932,0.00935,0.03704,0.00287,0.00073,3.09199,108.19,5.86975,0.0012649,0.0012649,0.0012649
15,45.5432,1.75422,2.10339,1.84316,0.00358,0.11111,0.00168,0.00049,3.34421,inf,6.7363,0.00134654,0.00134654,0.00134654
16,48.5527,1.85893,1.95066,1.87128,0.01902,0.25926,0.02492,0.00931,3.13358,328.597,7.23181,0.00142687,0.00142687,0.00142687
17,51.4481,1.69558,1.77744,1.82241,0.03203,0.33333,0.0267,0.00817,2.65008,169.569,4.2725,0.00149096,0.00149096,0.00149096
18,54.5511,1.65438,1.71483,1.74598,0.00689,0.40741,0.0046,0.00161,2.68002,inf,6.66976,0.00147996,0.00147996,0.00147996
19,57.9542,1.53836,1.66789,1.64616,0.00669,0.51852,0.00421,0.00156,2.75349,inf,6.47187,0.00146896,0.00146896,0.00146896
20,60.9214,1.72884,1.73225,1.84317,0.00473,0.40741,0.00248,0.00089,2.91352,inf,7.86127,0.00145796,0.00145796,0.00145796
21,63.8594,1.78299,1.74949,1.8632,0.00918,0.37037,0.00534,0.00153,2.77007,175.404,4.14975,0.00144696,0.00144696,0.00144696
22,66.9652,1.6953,1.72508,1.88105,0.07018,0.14815,0.05277,0.01096,2.76004,43.3846,4.34535,0.00143595,0.00143595,0.00143595
23,69.8518,1.55254,1.47383,1.65548,0.06452,0.07407,0.02133,0.00556,2.88542,32.1114,4.39506,0.00142495,0.00142495,0.00142495
24,72.9013,1.53295,1.5702,1.69263,0.05918,0.14815,0.0193,0.0055,2.63583,11.6171,4.29661,0.00141395,0.00141395,0.00141395
25,75.8503,1.57406,1.49605,1.69416,0.06224,0.22222,0.02786,0.00819,2.60048,7.74464,3.56056,0.00140295,0.00140295,0.00140295
26,78.9062,1.6238,1.42436,1.77365,0.00852,0.25926,0.00549,0.00142,3.00882,62.5274,3.96237,0.00139195,0.00139195,0.00139195
27,81.8039,1.52176,1.48105,1.68225,0.00727,0.33333,0.00399,0.00088,3.01614,54.4403,3.80524,0.00138094,0.00138094,0.00138094
28,84.6993,1.58448,1.49117,1.70717,0.23442,0.25926,0.14195,0.04094,2.57584,5.93244,2.82596,0.00136994,0.00136994,0.00136994
29,87.7144,1.6592,1.50728,1.73651,0.53741,0.22222,0.2797,0.09356,2.13534,4.98531,2.25634,0.00135894,0.00135894,0.00135894
30,90.7285,1.5482,1.45495,1.74536,0.22278,0.48148,0.24176,0.07629,2.1457,4.07963,2.16083,0.00134794,0.00134794,0.00134794
31,93.7503,1.55067,1.45534,1.6774,0.38987,0.51852,0.45747,0.1533,2.04959,3.49259,2.14878,0.00133693,0.00133693,0.00133693
32,96.8142,1.50585,1.35257,1.55697,0.39625,0.44444,0.42445,0.17484,2.18928,2.73664,2.2345,0.00132593,0.00132593,0.00132593
33,99.8209,1.55078,1.31453,1.67368,0.44603,0.51852,0.3809,0.14472,2.17993,2.34725,2.17421,0.00131493,0.00131493,0.00131493
34,103.16,1.59479,1.3677,1.71917,0.30933,0.44444,0.26724,0.12406,2.22973,2.26677,2.24225,0.00130393,0.00130393,0.00130393
35,106.243,1.51476,1.30264,1.61208,0.57061,0.4925,0.45639,0.19076,2.06301,1.89232,2.01887,0.00129293,0.00129293,0.00129293
