epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18233,2.99827,17.4657,2.82864,0.01449,0.5,0.01,0.00199,2.73296,15.0525,3.15505,0,0,0
2,4.6473,2.83419,19.1801,3.31104,0.01493,0.5,0.00979,0.00194,2.72859,15.2398,3.15459,1.9868e-05,1.9868e-05,1.9868e-05
3,5.10914,2.55671,15.5557,2.8445,0.00971,0.5,0.01011,0.00205,2.70121,15.6343,3.10985,3.9472e-05,3.9472e-05,3.9472e-05
4,5.56341,3.16747,33.8339,3.85702,0.00872,0.5,0.0097,0.00202,2.68962,15.7714,3.09091,5.8812e-05,5.8812e-05,5.8812e-05
5,6.00224,2.86245,17.2596,2.72112,0.00828,0.5,0.00946,0.00212,2.65988,16.0935,3.08136,7.7888e-05,7.7888e-05,7.7888e-05
6,6.4213,2.81384,25.3846,3.07123,0.00333,0.75,0.00599,0.00195,2.65829,16.5461,3.07974,9.67e-05,9.67e-05,9.67e-05
7,6.77477,2.85649,23.4095,2.91235,0.00477,0.75,0.00617,0.00202,2.65201,17.0978,3.05968,0.000115248,0.000115248,0.000115248
8,7.13012,3.07149,25.2844,2.99258,0.00442,0.5,0.0062,0.00185,2.64215,17.4058,3.04961,0.000133532,0.000133532,0.000133532
9,7.48848,2.33341,16.3079,2.60535,0.24134,0.25,0.29726,0.0745,2.35836,27.9639,2.60256,0.000151552,0.000151552,0.000151552
10,8.18876,2.02899,6.35948,2.08951,0.04894,0.5,0.06943,0.03413,1.64689,32.4422,1.96876,0.000169308,0.000169308,0.000169308
11,8.83331,1.81463,7.76262,1.79071,0.05429,0.5,0.04907,0.03424,1.49918,29.3174,1.90352,0.0001868,0.0001868,0.0001868
12,9.42149,1.59696,8.46488,1.89523,0.03662,0.25,0.02539,0.01773,1.47833,25.5859,1.91234,0.000204028,0.000204028,0.000204028
13,10.022,1.99971,7.30278,2.39188,0.01299,0.5,0.01086,0.00438,1.46141,23.2254,2.02836,0.000220992,0.000220992,0.000220992
14,10.6282,1.25138,4.20336,1.55286,0.17369,0.5,0.11578,0.05949,1.48113,19.7016,2.03104,0.000237692,0.000237692,0.000237692
15,11.1976,1.30707,4.6522,1.56153,0.89395,0.5,0.52236,0.30541,1.32427,15.2578,1.95468,0.000254128,0.000254128,0.000254128
16,11.8344,1.49623,4.04351,1.54653,0.76547,0.5,0.54137,0.37039,1.22994,16.5046,1.70987,0.0002703,0.0002703,0.0002703
17,12.5138,1.33523,3.74522,1.55771,0.56507,0.75,0.645,0.47277,1.12334,12.6829,1.48497,0.000286208,0.000286208,0.000286208
18,13.2097,1.2434,3.60425,1.62508,0.56507,0.75,0.645,0.47277,1.12334,12.6829,1.48497,0.000301852,0.000301852,0.000301852
19,13.9081,0.75335,5.04481,1.0031,0.49472,0.7368,0.50782,0.29451,1.29392,8.23779,1.70308,0.000317232,0.000317232,0.000317232
20,14.4917,1.62919,4.09326,1.71295,0.49472,0.7368,0.50782,0.29451,1.29392,8.23779,1.70308,0.000332348,0.000332348,0.000332348
21,15.1921,0.82712,2.08566,1.09787,0.79288,0.75,0.76038,0.39276,1.34499,7.8485,1.76226,0.0003472,0.0003472,0.0003472
22,15.8423,1.20108,2.30761,1.31147,0.79288,0.75,0.76038,0.39276,1.34499,7.8485,1.76226,0.000361788,0.000361788,0.000361788
23,16.4616,0.76021,2.84465,1.42664,0.6254,0.5,0.64138,0.42461,1.42089,8.08011,1.7986,0.000376112,0.000376112,0.000376112
24,17.0285,0.95238,2.21967,1.20013,0.6254,0.5,0.64138,0.42461,1.42089,8.08011,1.7986,0.000390172,0.000390172,0.000390172
25,17.5996,0.88641,3.35493,1.19964,0.85964,0.5,0.54763,0.32661,1.31781,8.28759,1.61659,0.000403968,0.000403968,0.000403968
26,18.1549,1.23184,2.13044,1.76237,0.85964,0.5,0.54763,0.32661,1.31781,8.28759,1.61659,0.0004175,0.0004175,0.0004175
27,18.7294,1.05022,2.68802,1.39029,0.9604,0.5,0.55281,0.32424,1.34675,8.7394,1.69832,0.000430768,0.000430768,0.000430768
28,19.2884,1.10718,3.29824,1.47997,0.9604,0.5,0.55281,0.32424,1.34675,8.7394,1.69832,0.000443772,0.000443772,0.000443772
29,20.1506,1.48455,2.90455,2.12017,0.97766,0.5,0.63786,0.39076,1.50921,7.99041,1.82364,0.000456512,0.000456512,0.000456512
30,20.7312,1.61684,2.22451,1.60628,0.97766,0.5,0.63786,0.39076,1.50921,7.99041,1.82364,0.000468988,0.000468988,0.000468988
31,21.3328,1.40937,2.67323,2.08961,0.79013,0.95064,0.945,0.41467,1.71002,8.00117,2.10557,0.0004812,0.0004812,0.0004812
32,21.933,1.24069,1.86818,1.47097,0.79013,0.95064,0.945,0.41467,1.71002,8.00117,2.10557,0.000493148,0.000493148,0.000493148
33,22.5223,1.12242,1.33243,1.47979,0.81038,0.75,0.88786,0.35654,1.62174,11.9799,2.10553,0.000504832,0.000504832,0.000504832
34,23.1045,1.01722,2.45306,1.25071,0.81038,0.75,0.88786,0.35654,1.62174,11.9799,2.10553,0.000516252,0.000516252,0.000516252
35,23.7362,1.43911,2.35766,1.56847,0.84617,1,0.995,0.605,1.39337,7.16028,1.97751,0.000527408,0.000527408,0.000527408
36,24.4246,1.10685,1.48602,1.60211,0.84617,1,0.995,0.605,1.39337,7.16028,1.97751,0.0005383,0.0005383,0.0005383
37,25.0961,1.24535,1.92079,1.55694,0.65574,0.95904,0.84917,0.31612,1.62222,4.29397,2.00919,0.000548928,0.000548928,0.000548928
38,25.6802,1.23318,1.74992,1.44388,0.65574,0.95904,0.84917,0.31612,1.62222,4.29397,2.00919,0.000559292,0.000559292,0.000559292
39,26.2863,1.32639,2.04398,1.36522,0.74263,0.7279,0.72598,0.24521,1.65644,4.89771,2.06176,0.000569392,0.000569392,0.000569392
40,26.8581,1.23474,1.90375,1.26725,0.74263,0.7279,0.72598,0.24521,1.65644,4.89771,2.06176,0.000579228,0.000579228,0.000579228
41,27.4491,0.95335,1.61956,1.35569,0.5616,0.96561,0.56857,0.14992,1.906,5.81086,2.28449,0.0005888,0.0005888,0.0005888
42,28.014,1.17609,1.75155,1.50938,0.5616,0.96561,0.56857,0.14992,1.906,5.81086,2.28449,0.000598108,0.000598108,0.000598108
43,28.6196,0.66785,1.08679,1.14716,0.27699,1,0.46643,0.10995,2.26593,11.6974,2.88989,0.000607152,0.000607152,0.000607152
44,29.2639,1.1601,1.3016,1.56268,0.27699,1,0.46643,0.10995,2.26593,11.6974,2.88989,0.000615932,0.000615932,0.000615932
45,29.8743,1.11481,1.55894,1.78534,0.2484,0.75,0.52833,0.12242,2.00199,16.1783,3.03402,0.000624448,0.000624448,0.000624448
46,30.4519,1.2897,1.85693,1.65372,0.2484,0.75,0.52833,0.12242,2.00199,16.1783,3.03402,0.0006327,0.0006327,0.0006327
47,31.0344,1.08925,1.36632,1.59484,0.4,0.5,0.48875,0.22379,1.88233,15.8743,3.04477,0.000640688,0.000640688,0.000640688
48,31.6058,1.30082,1.41551,1.69321,0.4,0.5,0.48875,0.22379,1.88233,15.8743,3.04477,0.000648412,0.000648412,0.000648412
49,32.2079,1.348,1.60703,1.5644,0.75,0.75,0.7825,0.4589,1.43477,15.6406,2.9548,0.000655872,0.000655872,0.000655872
50,32.7812,1.15294,1.35865,1.59791,0.75,0.75,0.7825,0.4589,1.43477,15.6406,2.9548,0.000663068,0.000663068,0.000663068
51,33.3547,1.15479,1.47009,1.81269,0.07407,1,0.30382,0.20841,1.23226,81.7776,2.21358,0.00067,0.00067,0.00067
52,33.9067,1.37004,1.30385,1.54896,0.07407,1,0.30382,0.20841,1.23226,81.7776,2.21358,0.000676668,0.000676668,0.000676668
53,34.472,1.42452,1.49952,1.55651,0.07407,1,0.30382,0.20841,1.23226,81.7776,2.21358,0.000683072,0.000683072,0.000683072
54,35.0726,0.99843,1.67488,1.10271,0.0303,1,0.29836,0.20418,1.21543,115.007,2.36578,0.000689212,0.000689212,0.000689212
55,35.651,0.91418,1.08441,1.19423,0.0303,1,0.29836,0.20418,1.21543,115.007,2.36578,0.000695088,0.000695088,0.000695088
56,36.2285,1.13707,1.10717,1.35441,0.0303,1,0.29836,0.20418,1.21543,115.007,2.36578,0.0007007,0.0007007,0.0007007
57,36.8243,1.007,1.36113,1.30502,0.05263,1,0.06525,0.04757,1.21635,68.5983,2.66275,0.000706048,0.000706048,0.000706048
58,37.3999,1.08821,1.09798,1.26454,0.05263,1,0.06525,0.04757,1.21635,68.5983,2.66275,0.000711132,0.000711132,0.000711132
59,37.9493,0.82709,1.09285,1.16045,0.05263,1,0.06525,0.04757,1.21635,68.5983,2.66275,0.000715952,0.000715952,0.000715952
60,38.5528,1.21123,1.21654,1.35821,0.11538,0.75,0.655,0.41983,1.38015,67.8351,2.2659,0.000720508,0.000720508,0.000720508
61,39.1017,0.826,1.12293,1.48851,0.11538,0.75,0.655,0.41983,1.38015,67.8351,2.2659,0.0007248,0.0007248,0.0007248
62,39.9541,1.22533,1.30965,1.50047,0.11538,0.75,0.655,0.41983,1.38015,67.8351,2.2659,0.000728828,0.000728828,0.000728828
